Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
PVC,HNX,Thiết bị và dịch vụ năng lượng,"Dịch vụ bọc ống
- Doanh thu: 67%
- Lợi nhuận gộp: Lỗ 4 tỷ

Dịch vụ lắp đặt dây chuyền, sơn ống
- Doanh thu: 33%
- Lợi nhuận gộp: Lãi 3 tỷ","Gồm quặng Parite, sét Betonite...chủ yếu được cung cấp tại các tỉnh phía Bắc như Tuyên Quang, Thái Nguyên, Nghệ An...",13.000 tấn,"Lĩnh vực sản xuất
- PVC chuyên sản xuất các hóa chất, hóa phẩm, nguyên vật liệu và các thiết bị phục vụ cho nghiên cứu chuyển giao công nghệ, cung cấp dịch vụ dung dịch khoan...
- Các sản phẩm chính gồm: Xi măng giếng khoan, Bentonite, các sản phẩm hóa chất, hóa dầu...

Lĩnh vực kinh doanh
- Kinh doanh hóa chất lọc dầu:
 + Khách hàng chính: gồm Nhà máy Lọc dầu Dung Quất và Nhà máy Lọc hóa dầu Nghi Sơn.
- Kinh doanh hóa chất khai thác:
 + Các sản phẩm được khai thác từ các lô mỏ hợp đồng theo dịch vụ hóa chất.
- Kinh doanh sản phẩm lọc hóa dầu:
 + Bao gồm các sản phẩm hiện có (Hạt nhựa các loại, Lưu huỳnh). Trong đó, PVC đang phấn đấu gia tăng thị phần sản xuất trong nước đối với sản phẩm lưu huỳnh.
- Kinh doanh hóa chất khoan:
 + Khách hàng thân thiết trong mảng này của PVC là PVN.
Ngoài ra, công ty cũng đang phấn đấu gia tăng thị phần cung cấp dịch vụ tại Vietsovpetro, Cuu Long JOC, PVEP,PO và các hợp đồng dầu khí.
- Kinh doanh hóa chất Công nghiệp khác:
 + Hóa chất cho công điện, sản xuất đạm, sơn và hóa chất xử lý nước cho các ngành công nghiệp và cung cấp các sản phẩm dân dụng.

Lĩnh vực dịch vụ
Cung cấp dịch vụ phân tích, thí nghiệm dung dịch khoan và hóa phẩm trong thăm dò,khai thác,vận chuyển,tồn chứa khí; Dịch vụ phân tích vật lý và hóa học của dầu thô (thành phần hóa học, điểm động, tính chất lưu biến, độ nhớt...);",
PVD,HOSE,Thiết bị và dịch vụ năng lượng,,,"Số lượng giàn khoan
- 5 giàn khoan biển: PVD I, II, III, VI, Hakuryu-11 (liên kết Nhật Bản)
- 1 giàn khoan đất liền: PVD XI
- 1 giàn khoan tiếp trợ nửa nổi nửa chìm: TAD
- Điểm hòa vốn tbinh khai thác dầu thô
- 50-55  USD/thùng","Dịch vụ khoan
- Thị trường mảng cung cấp dịch vụ khoan của PVD tập trung ở nội địa và các quốc gia trong khu vực Đông Nam Á.
- Nhu cầu trong nước yếu, PVD đang tập trung nhiều hơn cho thị trường nước ngoài.

Dịch vụ kĩ thuật giếng khoan
3 mảng chính:
- Cung ứng dịch vụ kĩ thuật giếng khoan (kéo thả ống chống, ứng cứu sự cố tràn dầu).
- Cung cấp nhân lực khoan.
- Cơ khí sửa chữa.
Mảng kĩ thuật giếng khoan và cung ứng nhân lực là 02 mảng đem lại doanh thu và lợi nhuận chính cho PVD",
PVG,HNX,Tiện ích khí đốt,"- Hàng hóa (99,8%) 
- Khác (0,2%)","Trọng số trong chi phí đầu vào của PVG là Dịch vụ mua ngoài và Lương nhân viên 55% còn lại là các chi phí khác như Khấu hao, bao bì, vận chuyển...","Hệ thống phân phối
- PVG có các 4 chi nhánh: Tây Bắc, Miền Trung, Miền Nam.
- Số lao động (2022)
- 540 người (+1,5% yoy).","Sản phẩm chính của PVG là LPG với khách hàng chính là người tiêu dùng: Hộ gia đình, nhà hàng...",
QNS,UPCOM,Sản phẩm thực phẩm,"Sữa đậu nành
- Doanh thu: 52,14%
- Lợi nhuận gộp: 71,25%

Đường
- Doanh thu: 23,9%
- Lợi nhuận gộp: 15,25%

Khác: Bia,nha,bánh kẹo..
- Doanh thu:23,96%
- Lợi nhuận gộp:13,5%","Mảng sữa đậu nành
- Nguyên vật liệu: Đậu nành: Nhập khẩu từ Canada (70%), Trong nước chiếm (30%) tại các tỉnh miền Trung như Quảng Ngãi và khu vực Tây Nguyên.
- Vùng nguyên liệu đậu nành trong nước: Đạt khoảng 5 nghìn ha (4,8% diện tích đậu nành cả nước). Cung cấp khoảng 8 nghìn tấn đậu nành

Mảng sản xuất đường điện
- Mía nguyên liệu (chiếm 70%spsx): tự chủ nhà máy và thu mua từ nông dân.
- Hàng năm QNS nhập khoảng 2 triệu tấn mía
- Vùng mía nguyên liệu: đạt gần 30 nghìn ha (chiếm 12% nguyên liệu toàn quốc), tập trung tại tỉnh Gia Lai và Quảng Ngãi (dễ chịu tác động tiêu cực bởi thời tiết)
- Chi phí sản xuất: Đậu nành (33%), Bao bì (29%), Nhân công, khấu hao (19%), Phụ gia khác (10%), Đường (9%","NM sản xuất đường
- NMD An Khê: 18 nghìn tấn/ngày (công suất ép mía lớn thứ 2 cả nước)
- Dây chuyền đường tinh luyện RE: 1 nghìn tấn/ngày (đi vào hoạt động 7/2021)
- NM điện sinh khối An Khê: 95 Kwh/tấn mía với tổng sản lượng điện 2021 là 151 triệu Kwh ( +60%YoY)

NM sữa đậu nành
- Sở hữu 3 nhà máy tại Bắc Ninh, Quảng Ngãi, Bình Dương với công suất nhà máy 390 triệu lít sữa/năm
- NM điện sinh khối An Khê
- Công suất 100Kwh/tấn mía với tổng sản lượng điện là 151 triệu Kwh","Sữa đậu nành
- Sản lượng tiêu thụ (2022): 265 triệu lít (-2% yoy)
- Giá bán trung bình (2022): 16.244 đồng/lít (+7% yoy)
- Thị phần tiêu thụ sữa Đậu nành (2022): 90%
- Hệ thống phân phối (2022): sản phẩm của Vinasoy phủ sóng hơn 1000 cửa hàng tại Châu Á chủ yếu ở Nhật Bản và Trung Quốc, có mặt hơn 200 siêu thị, cửa hàng tại Mỹ và đang xuất khẩu sang Hàn Quốc

Mảng đường
- Sản lượng đường tiêu thụ (2022): 130 nghìn tấn ( 18% yoy)
- Giá bán trung bình (2022): 15.200 đồng/kg (5.6% yoy)",
QTP,UPCOM,Tiện ích điện,100% thu nhập của QTP là bán điện,Than (chiếm 60-70% chi phí sản xuất),"Năng lực sản xuất
Tổng công suất 1200 MW.
NM Quảng Ninh 1:
- Tổ máy 1 (Xây dựng 2009): 300 MW.
- Tổ máy 2 (xây dựng 2010): 300 MW.
NM Quảng Ninh 2:
- Tổ máy 3 (xây dựng 2012): 300 MW
- Tổ máy 4 (xây dựng 2013): 300 MW
 Nhà máy của QTP sử dụng công nghệ phun than PC",100% đầu ra của QTP là EVN,
RAL,HOSE,Thiết bị điện,"Trọng số là sản phẩm đèn,ước tính 80 -85%","Các linh kiện điện tử, thép, nhựa,... được nhập khẩu từ nước ngoài và một số công ty trong nước.","Năng lực sản xuất
- 100 triệu sản phẩm LED/năm, 
- 5 triệu sản phẩm đèn bàn& Thiết bị chiếu sáng/ năm, 
- 32 triệu sản phẩm &ruột phích/năm","Sản phẩm chính
- 3 dòng sản phẩm chính Bóng đèn, Phích nước, Thiết bị chiếu sáng. Các dòng sản phẩm của RAL hướng đến phân khúc sản phẩm cao cấp hơn các sản phẩm từ Trung Quốc
- Thị trường tiêu thụ
- Nội địa: Có 400 nhà phân phối
- Xuất khẩu: Hoa Kỳ, Nhật Bản, Hàn Quốc, Brazil,...",
SAM,HOSE,Thiết bị điện,"- Hàng hóa, thành phẩm thiết bị điện (91%) 
- Dịch vụ (8,6%)
- Bất động sản (0,4%)",,"Mảng sản xuất công nghiệp:
- 2 NM tại KCN Long Thành, Đồng Nai và Ba dòng sản phẩm chính: cáp quang, cáp đồng,dây điện tử
- Tổng diện tích các nhà máy là 73 nghìn m2.

Mảng Nông lâm nghiệp:
- NM chế biến hồ tiêu quy mô 9 nghìn tấn/năm.",,
SBT,HOSE,Sản phẩm thực phẩm,"Đường
- Doanh thu: 92,81%
- Lợi nhuận gộp: 96,7%

Mật đường
- Doanh thu: 0,9%
- Lợi nhuận gộp: 1,48%

Điện
- Doanh thu: 0,5%
- Lợi nhuận gộp: 0,08%

Phân bón
- Doanh thu: 1%
- Lợi nhuận gộp: 1%

Khác
- Doanh thu: 4,7%
- Lợi nhuận gộp: 7%","Chi phí sản xuất đường
- Sản xuất đường thành phẩm từ 2 nguồn nguyên liệu mía và đường thô, với tỷ trọng sản xuất lần lượt 40% và 60%.

Vùng nguyên liệu mía
- Sở hữu 68 nghìn ha ở trong và ngoài nước
- Trong nước: Sở hữu 38 nghìn ha, chiếm 32% cơ cấu diện tích vùng nguyên liệu mía cả nước, tập trung chủ yếu ở ĐNB, Duyên Hải Nam Trung Bộ, Tây Nguyên.

Đường thô
- SBT nhập đường thô trong nước và nhập khẩu
 - Nhập khẩu: khoảng 80%, từ các quốc gia như Thái Lan, Australia, Brazil,...)
 - Trong nước: khoảng 20%, thu mua trong nước","Sản xuất đường từ Mía
Sở hữu 10NM với công suất ép mía 41 nghìn tấn mía
- Sản xuất ra 4,9 triệu tấn mía/ngày
- Chiếm khoảng 30% năng lực sản xuất cả nước, thu được khoảng 500 nghìn tấn đường mía.
- Sản lượng mía ép đạt 2.1 triệu tấn
 
Sản xuất đường từ Đường thô
Sở hữu 4NM với công suất ép mía đạt 2.39 tấn đường thô/ngày
- Chiếm 60% công suất luyện đường thô của cả nước. Sản lượng đường sản xuất sẽ đạt mức trung bình 350 nghìn tấn/năm, trong giai đoạn 2022-2026

Kho thành phẩm
- Sức chứa 289 nghìn tấn. Trong đó, miền Bắc 12.430 nghìn tấn, Miền Trung 113.2 nghìn tấn, Miền Nam 162.915 nghìn tấn

Kho nguyên vật liệu
- Sức chứa: 64.5 nghìn tấn. Trong đó, Miền Trung 12.5 nghìn tấn, Miền Nam 52 nghìn tấn","Thị trường tiêu thụ đường
- Giữ vững thị trường tiêu thụ, chiếm 46% thị phần và xuất khẩu có mặt tại 24 quốc gia như Mỹ, EU, Châu Á, các hòn đảo Thái Bình Dương

Sản phẩm
Có hơn 73 sản phẩm đường, 11 sản phẩm cạnh đường và sau đường, 6 sản phẩm nước uống, 1 sản phẩm khác (điện mặt trời)
- Đường RS: chiếm khoảng 70%, hướng tới DN nhỏ
- Đường RE: chiếm khoảng 30%, hướng tới khách hàng công nghiệp lớn
- Đường Organic, Phèn, Vàng...

Sản lượng phân phối qua các kênh
B2B (30%), B2C (6%), Thương mại (34%), Xuất khẩu (30%)

Khách hàng
Doanh nghiệp B2B: Lợi thế từ khả năng sản xuất đường RE lớn nhất cả nước
- 55% đường phân phối cho doanh nghiệp chế biến thực phẩm, với khách hàng như MNC, SME
- Tiêu dùng B2C: Ít bị ảnh hưởng bởi Thái Lan do chủ yếu tiêu thụ qua kênh hiện đại
 + Chiếm 6% tổng sản lượng tiêu thụ
 + Chiếm 70% thị phần phân phối tại kênh bán hàng hiện đại
- Thương mại: Lợi thế từ kho bãi lớn nhất cả nước và nguồn cung dồi dào.",
SGN,HOSE,Cơ sở hạ tầng giao thông,"- Doanh thu dịch vụ hàng không chiếm (97,7%) 
- Dịch vụ phi hàng không (2,3%)","- Nhân công (54,7%)
- Dịch vụ mua ngoài (24%)
- Nhượng quyền (14,2%)
- Khấu hao (2,9%)
- Nguyên liệu (2,1%)
- Khác (1,8%)","1662 người (+7,7% yoy)","- Tổng số chuyến bay SGN phục vụ (2022): 72.307 chuyến
- Quốc nội 58.110 chuyến, Quốc tế 14.197 chuyến.
- Khách hàng chính của SGN là Vietjet (Vietjet là cổ đông lớn của SGN)",
SGP,UPCOM,Cơ sở hạ tầng giao thông,"- Cung cấp dịch vụ khai thác cảng (96,6%)
- Hoạt động xây lắp và khác (3,4%)",,"Hệ thống các cảng
- Cảng Tân Thuận 1 (HCM, 1976).
- Cảng Tân Thuận 2 (HCM, 1976):
 + Công suất thiết kế: 1,5 triệu tấn/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 60.000 DWT.
- Cảng Hiệp Phước (HCM, 2013, tỷ lệ sở hữu 90,54%):
 + Công suất thiết kế: 18 triệu tấn/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 75.000 DWT.
Đây là cửa ngõ cho phép hàng hóa xuất nhập khẩu kết nối thuận tiện với các cảng khu vực TP.HCM, các tỉnh Nam bộ cũng như chuyển tiếp hàng hóa xuất khẩu ra khu vực Cái Mép-Thị Vải.
- Cảng Hiệp Phước được định hướng trở thành khu bến cảng chính của cảng biển TP.HCM.
- Cảng SSIT (Bà Rịa Vũng Tàu, 2014, tỷ lệ sở hữu 38,93%):
 + Công suất thiết kế: 1,5 triệu TEUs/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 200.000 DWT.
- Cảng SP-PSA (Bà Rịa Vũng Tàu, 2009, tỷ lệ sở hữu 36%):
 + Công suất thiết kế: 1,1 triệu TEUs/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 120.000 DWT.
- Cảng Tổng hợp Thị Vải (Bà Rịa Vũng Tàu, 2014, tỷ lệ sở hữu 21%):
 + Công suất thiết kế: 3 triệu tấn/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 75.000 DWT.
- Cảng CMIT (Bà Rịa Vũng Tàu, 2011, tỷ lệ sở hữu 15%):
 + Công suất thiết kế: 1,5 triệu TEUs/năm.
 + Cỡ tàu lớn nhất có thể tiếp nhận là 194.000 DWT","Hoạt động của các cảng
Sản lượng thực hiện (2022): 9,175 triệu tấn (-10% YoY).

Cảng Tân thuận:
- Là một trong những đơn vị chủ lực của SGP, có mối quan hệ tốt với các đại lý và khách hàng lớn nên tiếp nhận được lượng hàng sắt thép nhiều hơn các cảng trong khu vực.
- Cảng Tân Thuận hiện nay đã full công suất nhưng tiếp tục tối ưu hóa hoạt động.

Cảng Hiệp Phước:
- Tiếp tục sản xuất ở 2 khu vực Nhà Rồng Khánh Hội và Hiệp Phước.
- Tại Cảng Hiệp Phướ, trong năm 2021, hoạt động khai thác vẫn diễn ra tốt nhờ mặt hàng điện gió. Tuy nhiên, một số cầu cảng bị bồi lắng nhưng chưa nạo vét ảnh hưởng đến việc tiếp nhận tàu ở khu vực này.
Các cảng SSIT, SP-PSA,CMIT: Tăng trưởng phụ thuộc vào sự phát triển của cụm cảng Cái Mép- Thị Vải.

Bất động sản
Di dời cảng Nhà Rồng- Khánh Hội
- Cảng Sài Gòn chưa nhận được các khoản hỗ trợ di dời mà chỉ được nhận tạm ứng vốn từ ngân sách mhaf nước và tạm ứng vốn từ doanh nghiệp thực hiện dự án chuyển đổi công năng là Ngọc Viễn Đông.
- Nguyên nhân là do UBND thành phố chưa phê duyệt giá đất tại vị trí cảng cũ để Công ty Ngọc Viễn Đông nộp tiền chuyển mục đích sử dụng đất.",
SGT,HOSE,Dịch vụ viễn thông đa dạng,"Doanh thu
- Hoạt động thương mại-dịch vụ (66,81%)
- Hoạt động cho thuê đất, văn phòng & nhà xưởng (33,19%)

Lợi nhuận gộp
- Hoạt động thương mại-dịch vụ (51,6%)
- Hoạt động cho thuê đất, văn phòng & nhà xưởng (48,4%)",,"Một số khu công nghiệp tiêu biểu của SGT
- KCN Đại Đồng-Hoàn Sơn 1:
 + Quy mô: 286,82 ha.
 + Vị trí: Tọa lạc tại Huyện Tiên Du, Tỉnh Bắc Ninh.
 + Tỷ lệ lấp đầy: 100%.
 + Khách hàng tiêu biểu: Tabuchi Electric, Maedakosen Việt Nam, YGV, Cedo...
- KCN Đại Đồng-Hoàn Sơn 2:
 + Quy mô: 95,81 ha
 + Vị trí: Nằm cạnh KCN Đại Đồng-Hoàn Sơn 1, tọa lạc tại Huyện Tiên Du, Tỉnh Bắc Ninh.
- Nhà xưởng cho thuê tại Đà Nẵng:
 + Quy mô: 15 ha.
 + Vị trí: Nằm trong Khu công nghệ cao Đà Nẵng, tọa lạc tại Huyện Hòa Vang, TP.Đà Nẵng.
- Tòa nhà SAIGON ICT TOWER 1
 + Vị trí: Công viên phần mềm Quang Trung
 + Tỷ lệ lấp đầy: 100%, với 3 khách hàng thân thiết gắn bó nhiều năm gồm: SPS+, Neobags, NiNa Việt Nam.","Dịch vụ
- Viễn thông, công nghệ: SGT là đơn vị cung cấp dịch vụ viễn thông-công nghệ trong các khu công nghiệp thuộc Tập đoàn Đầu tư Sài Gòn.
- Khách hàng: Các doanh nghiệp FDI hàng đầu thế giới đang đầu tư nhà máy sản xuất trong các khu công nghiệp như LG, GOERTEK VINA, LUXSHARE ICT, FUHONG PRECISION COMPONENT.
- Năng lượng: Liên doanh SKYX SAIGONTEL phát triển điện mái áp vào phân khúc thương mại và công nghiệp (C&I) với kế hoạch 50MW+ trong 2 năm đầu và 150MW+ trong các năm tiếp theo.
- Truyền thông: Thông qua CTCP Giải trí Nắng Vàng, SGT cung cấp dịch vụ tư vấn chiến lược truyền thông, dịch vụ sáng tạo, tổ chức sự kiện...

Bất động sản Khu công nghiệp
- Phát triển dự án về bất động sản công nghiệp (khu công nghệ cao, khu công nghiệp, cụm công nghiệp) và hạ tầng (giao thông, cảng biển..)
- SGT hiện đang là chủ sở hữu- Ban quản lý của 38 KCN và đồng thời nhà cung cấp các dịch vụ hạ tầng, dịch vụ viễn thông cho các KCN này.

Đầu tư và phát triển đô thị
Dự án nhà ở xã hội khu đô thị xanh Bầu tràm Lakeside
 - Quy mô: 13.218 m2, gồm 4 tòa chung cư cao 21 tầng và 01 tầng hầm.
 - Vị trí: Nằm trong tổng thể dự án 46 ha Khu đô thị xanh Bầu Tràm Lakeside Đà Nẵng, liền kề KCN Liên Chiều.",
SHI,HOSE,Kim loại và khai thác,"Bán hàng hóa,thành phẩm: chủ yếu là đồ gia dụng,máy bơm,bồn...
- Doanh thu: 98,6%
- Lợi nhuận gộp: 98%

Nước sạch
- Doanh thu: 0,7%
- Lợi nhuận gộp: -1,7%

Dịch vụ khác
- Doanh thu: 3,6%
- Lợi nhuận gộp: 0,03%",,Gồm 11 nhà máy sản xuất bao gồm 10 nhà máy trong nước với tổng diện tích khoảng 250 nghìn m2 trải dài cả 3 miền Bắc-Trung-Nam và 1 nhà máy tại nước ngoài đáp ứng nhu cầu của thị trường,"Hoạt động kinh doanh chính
Sản phẩm công nghiệp:
- 2 nhóm ngành chính là sản xuất ống thép inox và gia công cuộn cán inox.
- Sản phẩm được tiêu thụ trong nước và xuất khẩu tới 35 quốc gia.
- Hiện ống inox là sản phẩm duy nhất tại Việt Nam đạt chứng chỉ PED, đủ tiêu chuẩn xuất khẩu sang các thị trường như Mỹ, Ấn Độ, Nga, Brazil,...

Sản phẩm gia dụng, thiết bị bếp:
- Bồn nước inox, bồn nước nhựa, máy lọc RO, chậu rửa inox,...Trong đó, sản phẩm Bồn nước inox là sản phẩm chủ lực của SHI và mang lại thương hiệu cho công ty. Hiện sản phẩm chiếm 30% thị phần cả nước, cạnh tranh với hơn 20 doanh nghiệp cùng ngành

Năng lượng tái tạo:
- Sản phẩm máy nước nóng năng lượng mặt trời Thái Dương, hiện chiếm 30% thị phần máy nước nóng năng lượng mặt trời trên cả nước, đang cạnh tranh với các thương hiệu như Tân Á-Đại Thành, Megasun, Osaka,...

Khách hàng
- Nội địa: Các sản phẩm của Sơn Hà phần lớn được tiêu dùng nội địa, được bán lẻ qua các nhà phân phối, chi nhánh và đại lý trên cả nước, đóng góp hơn 80% doanh thu
- Xuất khẩu: Tới hơn 30 quốc gia và vùng lãnh thổ trên thế giới, mang lại gần 20% doanh thu.",
